# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -316 2 1276 66309 18354211 1 build/Chaos/0100/1.wav
DUPTYPE_WITHIN_SAME_TREE -316 2 1276 66309 18225207 1 build/Chaos/0090/1.wav
DUPTYPE_WITHIN_SAME_TREE -316 2 1276 66309 18353957 1 build/Aspirin/0100/1.wav
DUPTYPE_WITHIN_SAME_TREE -316 2 1276 66309 18487019 1 build/Chaos/0140/1.wav
DUPTYPE_WITHIN_SAME_TREE -316 2 1276 66309 18487015 1 build/Aspirin/0140/1.wav
DUPTYPE_WITHIN_SAME_TREE -316 2 1276 66309 18486907 1 build/Chaos/0120/3.wav
DUPTYPE_WITHIN_SAME_TREE -316 2 1276 66309 18486966 1 build/Aspirin/0130/2.wav
DUPTYPE_WITHIN_SAME_TREE -316 2 1276 66309 18486970 1 build/Chaos/0130/2.wav
DUPTYPE_FIRST_OCCURRENCE 3270 2 1276 66309 20971616 1 build/FluidR3/0800/4.wav
DUPTYPE_WITHIN_SAME_TREE -3270 2 1276 66309 20972902 1 build/FluidR3/0980/4.wav
DUPTYPE_FIRST_OCCURRENCE 3269 2 1276 66309 20971615 1 build/FluidR3/0800/3.wav
DUPTYPE_WITHIN_SAME_TREE -3269 2 1276 66309 20972901 1 build/FluidR3/0980/3.wav
DUPTYPE_FIRST_OCCURRENCE 7384 2 1276 66309 20974065 1 build/JCLive/1120/1.wav
DUPTYPE_WITHIN_SAME_TREE -7384 2 1276 66309 20974069 1 build/JCLive/1120/5.wav
DUPTYPE_FIRST_OCCURRENCE 5035 2 1276 66309 20847118 1 build/GeneralUserGS/0622/0.wav
DUPTYPE_WITHIN_SAME_TREE -5035 2 1276 66309 20847122 1 build/GeneralUserGS/0622/4.wav
DUPTYPE_WITHIN_SAME_TREE -5035 2 1276 66309 20847123 1 build/GeneralUserGS/0622/5.wav
DUPTYPE_WITHIN_SAME_TREE -5035 2 1276 66309 20847120 1 build/GeneralUserGS/0622/2.wav
DUPTYPE_FIRST_OCCURRENCE 8809 2 1310 66309 20973797 1 build/SBLive/1090/6.wav
DUPTYPE_WITHIN_SAME_TREE -8809 2 1310 66309 20973799 1 build/SBLive/1090/8.wav
DUPTYPE_FIRST_OCCURRENCE 6432 2 1312 66309 19403713 1 build/JCLive/0380/7.wav
DUPTYPE_WITHIN_SAME_TREE -6432 2 1312 66309 20972115 1 build/JCLive/0870/5.wav
DUPTYPE_FIRST_OCCURRENCE 4258 2 1312 66309 19009481 1 build/GeneralUserGS/0261/0.wav
DUPTYPE_WITHIN_SAME_TREE -4258 2 1312 66309 20972956 1 build/GeneralUserGS/0983/0.wav
DUPTYPE_FIRST_OCCURRENCE 1435 2 1312 66309 19403689 1 build/Chaos/0380/8.wav
DUPTYPE_WITHIN_SAME_TREE -1435 2 1312 66309 20972097 1 build/Chaos/0870/5.wav
DUPTYPE_FIRST_OCCURRENCE 4296 2 1340 66309 19009636 1 build/GeneralUserGS/0283/1.wav
DUPTYPE_WITHIN_SAME_TREE -4296 2 1340 66309 19403743 1 build/GeneralUserGS/0381/6.wav
DUPTYPE_WITHIN_SAME_TREE -4296 2 1340 66309 20847144 1 build/GeneralUserGS/0630/8.wav
DUPTYPE_WITHIN_SAME_TREE -4296 2 1340 66309 19403338 1 build/GeneralUserGS/0361/2.wav
DUPTYPE_WITHIN_SAME_TREE -4296 2 1340 66309 19403670 1 build/GeneralUserGS/0371/3.wav
DUPTYPE_WITHIN_SAME_TREE -4296 2 1340 66309 19272461 1 build/GeneralUserGS/0351/1.wav
DUPTYPE_WITHIN_SAME_TREE -4296 2 1340 66309 19272355 1 build/GeneralUserGS/0332/1.wav
DUPTYPE_WITHIN_SAME_TREE -4296 2 1340 66309 20973652 1 build/GeneralUserGS/1061/0.wav
DUPTYPE_WITHIN_SAME_TREE -4296 2 1340 66309 20847109 1 build/GeneralUserGS/0621/6.wav
DUPTYPE_WITHIN_SAME_TREE -4296 2 1340 66309 19403781 1 build/GeneralUserGS/0385/3.wav
DUPTYPE_FIRST_OCCURRENCE 4486 2 1340 66309 19403895 1 build/GeneralUserGS/0393/6.wav
DUPTYPE_WITHIN_SAME_TREE -4486 2 1340 66309 20971624 1 build/GeneralUserGS/0800/6.wav
DUPTYPE_FIRST_OCCURRENCE 4418 2 1340 66309 19403702 1 build/GeneralUserGS/0380/5.wav
DUPTYPE_WITHIN_SAME_TREE -4418 2 1340 66309 20972138 1 build/GeneralUserGS/0871/6.wav
DUPTYPE_FIRST_OCCURRENCE 3994 2 1340 66309 18486958 1 build/GeneralUserGS/0121/4.wav
DUPTYPE_WITHIN_SAME_TREE -3994 2 1340 66309 20972287 1 build/GeneralUserGS/0889/1.wav
DUPTYPE_WITHIN_SAME_TREE -3994 2 1340 66309 19272350 1 build/GeneralUserGS/0331/3.wav
DUPTYPE_WITHIN_SAME_TREE -3994 2 1340 66309 20971649 1 build/GeneralUserGS/0801/3.wav
DUPTYPE_WITHIN_SAME_TREE -3994 2 1340 66309 20974300 1 build/GeneralUserGS/1181/3.wav
DUPTYPE_WITHIN_SAME_TREE -3994 2 1340 66309 19403787 1 build/GeneralUserGS/0386/3.wav
DUPTYPE_WITHIN_SAME_TREE -3994 2 1340 66309 18618890 1 build/GeneralUserGS/0142/3.wav
DUPTYPE_WITHIN_SAME_TREE -3994 2 1340 66309 19272419 1 build/GeneralUserGS/0341/3.wav
DUPTYPE_FIRST_OCCURRENCE 4420 2 1340 66309 19403704 1 build/GeneralUserGS/0380/7.wav
DUPTYPE_WITHIN_SAME_TREE -4420 2 1340 66309 19403896 1 build/GeneralUserGS/0393/7.wav
DUPTYPE_WITHIN_SAME_TREE -4420 2 1340 66309 20971625 1 build/GeneralUserGS/0800/7.wav
DUPTYPE_WITHIN_SAME_TREE -4420 2 1340 66309 20972140 1 build/GeneralUserGS/0871/8.wav
DUPTYPE_FIRST_OCCURRENCE 4437 2 1340 66309 19403764 1 build/GeneralUserGS/0382/8.wav
DUPTYPE_WITHIN_SAME_TREE -4437 2 1340 66309 20972150 1 build/GeneralUserGS/0873/6.wav
DUPTYPE_WITHIN_SAME_TREE -4437 2 1340 66309 20971674 1 build/GeneralUserGS/0810/6.wav
DUPTYPE_WITHIN_SAME_TREE -4437 2 1340 66309 20847051 1 build/GeneralUserGS/0620/6.wav
DUPTYPE_WITHIN_SAME_TREE -4437 2 1340 66309 20973403 1 build/GeneralUserGS/1022/6.wav
DUPTYPE_WITHIN_SAME_TREE -4437 2 1340 66309 19403799 1 build/GeneralUserGS/0387/6.wav
DUPTYPE_WITHIN_SAME_TREE -4437 2 1340 66309 19403773 1 build/GeneralUserGS/0383/6.wav
DUPTYPE_FIRST_OCCURRENCE 4436 2 1340 66309 19403763 1 build/GeneralUserGS/0382/7.wav
DUPTYPE_WITHIN_SAME_TREE -4436 2 1340 66309 19403798 1 build/GeneralUserGS/0387/5.wav
DUPTYPE_WITHIN_SAME_TREE -4436 2 1340 66309 20971673 1 build/GeneralUserGS/0810/5.wav
DUPTYPE_WITHIN_SAME_TREE -4436 2 1340 66309 19403772 1 build/GeneralUserGS/0383/5.wav
DUPTYPE_WITHIN_SAME_TREE -4436 2 1340 66309 20973402 1 build/GeneralUserGS/1022/5.wav
DUPTYPE_WITHIN_SAME_TREE -4436 2 1340 66309 20972149 1 build/GeneralUserGS/0873/5.wav
DUPTYPE_WITHIN_SAME_TREE -4436 2 1340 66309 20847050 1 build/GeneralUserGS/0620/5.wav
DUPTYPE_FIRST_OCCURRENCE 3995 2 1340 66309 18486959 1 build/GeneralUserGS/0121/5.wav
DUPTYPE_WITHIN_SAME_TREE -3995 2 1340 66309 18618892 1 build/GeneralUserGS/0142/4.wav
DUPTYPE_WITHIN_SAME_TREE -3995 2 1340 66309 19403788 1 build/GeneralUserGS/0386/4.wav
DUPTYPE_WITHIN_SAME_TREE -3995 2 1340 66309 19272420 1 build/GeneralUserGS/0341/4.wav
DUPTYPE_WITHIN_SAME_TREE -3995 2 1340 66309 20974301 1 build/GeneralUserGS/1181/4.wav
